starttime	seconds	ctime	dtime	ttime	wait
Mon Dec 19 17:08:01 2016	1482174481	0	4	5	4
Mon Dec 19 17:08:01 2016	1482174481	0	9	9	9
Mon Dec 19 17:08:01 2016	1482174481	0	12	12	12
Mon Dec 19 17:08:01 2016	1482174481	0	15	16	15
Mon Dec 19 17:08:01 2016	1482174481	0	17	17	17
Mon Dec 19 17:08:01 2016	1482174481	0	19	19	19
Mon Dec 19 17:08:01 2016	1482174481	0	25	25	25
Mon Dec 19 17:08:01 2016	1482174481	0	28	28	28
Mon Dec 19 17:08:01 2016	1482174481	0	30	31	30
Mon Dec 19 17:08:22 2016	1482174502	0	34	34	34
Mon Dec 19 17:08:22 2016	1482174502	0	34	34	34
Mon Dec 19 17:08:22 2016	1482174502	0	34	34	34
Mon Dec 19 17:08:22 2016	1482174502	0	34	34	34
Mon Dec 19 17:08:22 2016	1482174502	0	34	34	34
Mon Dec 19 17:08:22 2016	1482174502	0	34	34	34
Mon Dec 19 17:08:22 2016	1482174502	0	34	34	34
Mon Dec 19 17:08:22 2016	1482174502	0	34	34	34
Mon Dec 19 17:08:22 2016	1482174502	0	34	34	34
Mon Dec 19 17:08:22 2016	1482174502	0	34	34	34
Mon Dec 19 17:08:22 2016	1482174502	0	34	34	34
Mon Dec 19 17:08:22 2016	1482174502	0	34	34	34
Mon Dec 19 17:08:22 2016	1482174502	0	34	34	34
Mon Dec 19 17:08:22 2016	1482174502	0	34	34	34
Mon Dec 19 17:08:22 2016	1482174502	0	34	34	34
Mon Dec 19 17:08:22 2016	1482174502	0	34	34	34
Mon Dec 19 17:08:22 2016	1482174502	0	34	34	34
Mon Dec 19 17:08:22 2016	1482174502	0	34	34	34
Mon Dec 19 17:08:22 2016	1482174502	0	34	34	34
Mon Dec 19 17:08:22 2016	1482174502	0	34	34	34
Mon Dec 19 17:08:22 2016	1482174502	0	34	34	34
Mon Dec 19 17:08:22 2016	1482174502	0	34	34	34
Mon Dec 19 17:08:01 2016	1482174481	0	34	34	34
Mon Dec 19 17:08:22 2016	1482174502	0	34	34	34
Mon Dec 19 17:08:22 2016	1482174502	0	34	34	34
Mon Dec 19 17:08:22 2016	1482174502	0	34	34	34
Mon Dec 19 17:08:22 2016	1482174502	0	34	34	34
Mon Dec 19 17:08:22 2016	1482174502	0	35	35	34
Mon Dec 19 17:08:22 2016	1482174502	0	35	35	35
Mon Dec 19 17:08:22 2016	1482174502	0	35	35	35
Mon Dec 19 17:08:22 2016	1482174502	0	35	35	35
Mon Dec 19 17:08:22 2016	1482174502	0	35	35	35
Mon Dec 19 17:08:22 2016	1482174502	0	35	35	35
Mon Dec 19 17:08:22 2016	1482174502	0	35	35	35
Mon Dec 19 17:08:22 2016	1482174502	0	35	35	35
Mon Dec 19 17:08:22 2016	1482174502	0	35	35	35
Mon Dec 19 17:08:22 2016	1482174502	0	35	35	35
Mon Dec 19 17:08:22 2016	1482174502	0	35	35	35
Mon Dec 19 17:08:22 2016	1482174502	0	35	35	35
Mon Dec 19 17:08:22 2016	1482174502	0	35	35	35
Mon Dec 19 17:08:22 2016	1482174502	0	35	35	35
Mon Dec 19 17:08:22 2016	1482174502	0	35	35	35
Mon Dec 19 17:08:22 2016	1482174502	0	35	35	35
Mon Dec 19 17:08:22 2016	1482174502	0	35	35	35
Mon Dec 19 17:08:22 2016	1482174502	0	35	35	35
Mon Dec 19 17:08:22 2016	1482174502	0	35	35	35
Mon Dec 19 17:08:22 2016	1482174502	0	35	35	35
Mon Dec 19 17:08:22 2016	1482174502	0	35	35	35
Mon Dec 19 17:08:22 2016	1482174502	0	35	35	35
Mon Dec 19 17:08:22 2016	1482174502	0	35	35	35
Mon Dec 19 17:08:22 2016	1482174502	0	35	35	35
Mon Dec 19 17:08:22 2016	1482174502	0	35	35	35
Mon Dec 19 17:08:22 2016	1482174502	0	35	35	35
Mon Dec 19 17:08:22 2016	1482174502	0	35	35	35
Mon Dec 19 17:08:22 2016	1482174502	0	35	35	35
Mon Dec 19 17:08:22 2016	1482174502	0	35	35	35
Mon Dec 19 17:08:22 2016	1482174502	0	35	35	35
Mon Dec 19 17:08:22 2016	1482174502	0	35	35	35
Mon Dec 19 17:08:22 2016	1482174502	0	35	35	35
Mon Dec 19 17:08:22 2016	1482174502	0	35	35	35
Mon Dec 19 17:08:22 2016	1482174502	0	36	36	35
Mon Dec 19 17:08:22 2016	1482174502	0	36	36	36
Mon Dec 19 17:08:22 2016	1482174502	0	36	36	36
Mon Dec 19 17:08:22 2016	1482174502	0	36	36	36
Mon Dec 19 17:08:22 2016	1482174502	0	36	36	36
Mon Dec 19 17:08:22 2016	1482174502	0	36	36	36
Mon Dec 19 17:08:22 2016	1482174502	0	36	36	36
Mon Dec 19 17:08:10 2016	1482174490	0	36	36	36
Mon Dec 19 17:08:06 2016	1482174486	0	36	36	36
Mon Dec 19 17:08:22 2016	1482174502	0	36	36	36
Mon Dec 19 17:08:06 2016	1482174486	0	36	36	36
Mon Dec 19 17:08:21 2016	1482174501	0	36	36	36
Mon Dec 19 17:08:22 2016	1482174502	0	36	36	36
Mon Dec 19 17:08:22 2016	1482174502	0	36	36	36
Mon Dec 19 17:08:06 2016	1482174486	0	36	36	36
Mon Dec 19 17:08:06 2016	1482174486	0	36	36	36
Mon Dec 19 17:08:06 2016	1482174486	0	36	36	36
Mon Dec 19 17:08:10 2016	1482174490	0	36	36	36
Mon Dec 19 17:08:05 2016	1482174485	0	36	36	36
Mon Dec 19 17:08:10 2016	1482174490	0	36	36	36
Mon Dec 19 17:08:20 2016	1482174500	0	36	36	36
Mon Dec 19 17:08:06 2016	1482174486	0	36	36	36
Mon Dec 19 17:08:22 2016	1482174502	0	36	36	36
Mon Dec 19 17:08:05 2016	1482174485	0	36	36	36
Mon Dec 19 17:08:21 2016	1482174501	0	36	36	36
Mon Dec 19 17:08:22 2016	1482174502	0	36	36	36
Mon Dec 19 17:08:21 2016	1482174501	0	36	36	36
Mon Dec 19 17:08:05 2016	1482174485	0	36	36	36
Mon Dec 19 17:08:10 2016	1482174490	0	36	36	36
Mon Dec 19 17:08:11 2016	1482174491	0	36	36	36
Mon Dec 19 17:08:08 2016	1482174488	0	36	36	36
Mon Dec 19 17:08:14 2016	1482174494	0	36	36	36
