starttime	seconds	ctime	dtime	ttime	wait
Mon Dec 19 17:29:41 2016	1482175781	1	4	4	4
Mon Dec 19 17:29:41 2016	1482175781	1	8	9	8
Mon Dec 19 17:29:41 2016	1482175781	1	12	12	12
Mon Dec 19 17:29:41 2016	1482175781	0	13	13	13
Mon Dec 19 17:29:41 2016	1482175781	1	14	15	14
Mon Dec 19 17:29:41 2016	1482175781	1	21	21	21
Mon Dec 19 17:29:41 2016	1482175781	1	23	24	23
Mon Dec 19 17:29:41 2016	1482175781	0	26	26	26
Mon Dec 19 17:29:41 2016	1482175781	0	29	30	29
Mon Dec 19 17:29:41 2016	1482175781	0	32	32	32
Mon Dec 19 17:29:47 2016	1482175787	0	33	33	32
Mon Dec 19 17:29:47 2016	1482175787	0	34	34	34
Mon Dec 19 17:29:47 2016	1482175787	0	34	34	34
Mon Dec 19 17:29:41 2016	1482175781	0	34	35	34
Mon Dec 19 17:29:45 2016	1482175785	0	35	35	35
Mon Dec 19 17:29:45 2016	1482175785	0	35	35	35
Mon Dec 19 17:29:45 2016	1482175785	0	35	35	35
Mon Dec 19 17:29:44 2016	1482175784	0	35	35	35
Mon Dec 19 17:29:47 2016	1482175787	0	35	35	35
Mon Dec 19 17:29:46 2016	1482175786	0	35	35	35
Mon Dec 19 17:29:44 2016	1482175784	0	35	35	35
Mon Dec 19 17:29:45 2016	1482175785	0	35	35	35
Mon Dec 19 17:29:47 2016	1482175787	0	35	35	35
Mon Dec 19 17:29:47 2016	1482175787	0	35	35	35
Mon Dec 19 17:29:45 2016	1482175785	0	35	35	35
Mon Dec 19 17:29:45 2016	1482175785	0	35	35	35
Mon Dec 19 17:29:47 2016	1482175787	0	35	35	35
Mon Dec 19 17:29:44 2016	1482175784	0	35	35	35
Mon Dec 19 17:29:44 2016	1482175784	0	36	36	36
Mon Dec 19 17:29:46 2016	1482175786	0	36	36	36
Mon Dec 19 17:29:52 2016	1482175792	0	36	36	36
Mon Dec 19 17:29:44 2016	1482175784	0	36	36	36
Mon Dec 19 17:29:45 2016	1482175785	0	36	36	36
Mon Dec 19 17:29:44 2016	1482175784	0	36	36	36
Mon Dec 19 17:29:44 2016	1482175784	0	36	36	36
Mon Dec 19 17:29:49 2016	1482175789	0	36	36	36
Mon Dec 19 17:29:45 2016	1482175785	0	36	36	36
Mon Dec 19 17:29:49 2016	1482175789	0	36	36	36
Mon Dec 19 17:29:44 2016	1482175784	0	36	36	36
Mon Dec 19 17:29:55 2016	1482175795	0	36	36	36
Mon Dec 19 17:29:44 2016	1482175784	0	36	36	36
Mon Dec 19 17:29:45 2016	1482175785	0	36	36	36
Mon Dec 19 17:29:44 2016	1482175784	0	36	36	36
Mon Dec 19 17:29:46 2016	1482175786	0	36	36	36
Mon Dec 19 17:29:55 2016	1482175795	0	36	36	36
Mon Dec 19 17:29:52 2016	1482175792	0	36	36	36
Mon Dec 19 17:29:44 2016	1482175784	0	36	36	36
Mon Dec 19 17:29:52 2016	1482175792	0	36	36	36
Mon Dec 19 17:29:46 2016	1482175786	0	36	36	36
Mon Dec 19 17:29:55 2016	1482175795	0	36	36	36
Mon Dec 19 17:29:43 2016	1482175783	0	36	36	36
Mon Dec 19 17:29:47 2016	1482175787	0	36	36	36
Mon Dec 19 17:29:45 2016	1482175785	0	36	36	36
Mon Dec 19 17:29:57 2016	1482175797	0	36	36	36
Mon Dec 19 17:29:48 2016	1482175788	0	36	36	36
Mon Dec 19 17:29:47 2016	1482175787	0	36	36	36
Mon Dec 19 17:29:52 2016	1482175792	0	36	36	36
Mon Dec 19 17:29:43 2016	1482175783	0	36	36	36
Mon Dec 19 17:29:44 2016	1482175784	0	36	36	36
Mon Dec 19 17:29:44 2016	1482175784	0	36	36	36
Mon Dec 19 17:29:44 2016	1482175784	0	36	36	36
Mon Dec 19 17:29:52 2016	1482175792	0	36	36	36
Mon Dec 19 17:29:43 2016	1482175783	0	36	36	36
Mon Dec 19 17:29:42 2016	1482175782	0	36	36	36
Mon Dec 19 17:29:44 2016	1482175784	0	36	36	36
Mon Dec 19 17:29:42 2016	1482175782	0	36	36	36
Mon Dec 19 17:29:44 2016	1482175784	0	36	36	36
Mon Dec 19 17:29:45 2016	1482175785	0	36	36	36
Mon Dec 19 17:29:44 2016	1482175784	0	36	36	36
Mon Dec 19 17:29:44 2016	1482175784	0	36	36	36
Mon Dec 19 17:29:44 2016	1482175784	0	36	36	36
Mon Dec 19 17:29:49 2016	1482175789	0	36	36	36
Mon Dec 19 17:29:44 2016	1482175784	0	36	36	36
Mon Dec 19 17:29:44 2016	1482175784	0	36	36	36
Mon Dec 19 17:29:49 2016	1482175789	0	36	36	36
Mon Dec 19 17:29:46 2016	1482175786	0	36	36	36
Mon Dec 19 17:29:44 2016	1482175784	0	36	36	36
Mon Dec 19 17:29:52 2016	1482175792	0	36	36	36
Mon Dec 19 17:29:49 2016	1482175789	0	36	36	36
Mon Dec 19 17:29:52 2016	1482175792	0	36	36	36
Mon Dec 19 17:29:59 2016	1482175799	0	36	36	36
Mon Dec 19 17:29:46 2016	1482175786	0	36	36	36
Mon Dec 19 17:29:46 2016	1482175786	0	36	36	36
Mon Dec 19 17:29:43 2016	1482175783	0	36	36	36
Mon Dec 19 17:29:49 2016	1482175789	0	36	36	36
Mon Dec 19 17:29:46 2016	1482175786	0	36	36	36
Mon Dec 19 17:29:46 2016	1482175786	0	36	36	36
Mon Dec 19 17:29:43 2016	1482175783	0	36	36	36
Mon Dec 19 17:29:43 2016	1482175783	0	36	36	36
Mon Dec 19 17:29:52 2016	1482175792	0	36	36	36
Mon Dec 19 17:29:52 2016	1482175792	0	36	36	36
Mon Dec 19 17:29:45 2016	1482175785	0	36	36	36
Mon Dec 19 17:29:45 2016	1482175785	0	36	36	36
Mon Dec 19 17:29:44 2016	1482175784	0	36	36	36
Mon Dec 19 17:29:47 2016	1482175787	0	36	36	36
Mon Dec 19 17:29:43 2016	1482175783	0	36	36	36
Mon Dec 19 17:29:47 2016	1482175787	0	36	36	36
Mon Dec 19 17:29:44 2016	1482175784	0	36	36	36
Mon Dec 19 17:29:43 2016	1482175783	0	36	36	36
Mon Dec 19 17:29:43 2016	1482175783	0	36	36	36
Mon Dec 19 17:29:43 2016	1482175783	0	36	36	36
Mon Dec 19 17:29:44 2016	1482175784	0	36	36	36
Mon Dec 19 17:29:44 2016	1482175784	0	36	36	36
Mon Dec 19 17:29:48 2016	1482175788	0	36	36	36
Mon Dec 19 17:29:47 2016	1482175787	0	36	36	36
Mon Dec 19 17:29:44 2016	1482175784	0	36	36	36
Mon Dec 19 17:29:42 2016	1482175782	0	36	36	36
Mon Dec 19 17:29:43 2016	1482175783	0	36	36	36
Mon Dec 19 17:29:44 2016	1482175784	0	36	36	36
Mon Dec 19 17:29:44 2016	1482175784	0	36	36	36
Mon Dec 19 17:29:55 2016	1482175795	0	36	36	36
Mon Dec 19 17:29:48 2016	1482175788	0	36	36	36
Mon Dec 19 17:29:47 2016	1482175787	0	36	36	36
Mon Dec 19 17:29:47 2016	1482175787	0	36	36	36
Mon Dec 19 17:29:46 2016	1482175786	0	36	36	36
Mon Dec 19 17:29:43 2016	1482175783	0	36	36	36
Mon Dec 19 17:29:59 2016	1482175799	0	36	36	36
Mon Dec 19 17:29:47 2016	1482175787	0	36	36	36
Mon Dec 19 17:29:46 2016	1482175786	0	36	36	36
Mon Dec 19 17:29:43 2016	1482175783	0	36	36	36
Mon Dec 19 17:29:44 2016	1482175784	0	36	36	36
Mon Dec 19 17:29:49 2016	1482175789	0	36	36	36
Mon Dec 19 17:29:46 2016	1482175786	0	36	36	36
Mon Dec 19 17:29:46 2016	1482175786	0	36	36	36
Mon Dec 19 17:29:55 2016	1482175795	0	36	36	36
Mon Dec 19 17:29:49 2016	1482175789	0	36	36	36
Mon Dec 19 17:29:55 2016	1482175795	0	36	36	36
Mon Dec 19 17:29:46 2016	1482175786	0	36	36	36
Mon Dec 19 17:29:42 2016	1482175782	0	36	36	36
Mon Dec 19 17:29:48 2016	1482175788	0	36	36	36
Mon Dec 19 17:29:49 2016	1482175789	0	36	36	36
