starttime	seconds	ctime	dtime	ttime	wait
Tue Jun 20 11:33:04 2017	1497969184	0	5	5	5
Tue Jun 20 11:33:04 2017	1497969184	0	8	8	8
Tue Jun 20 11:33:04 2017	1497969184	0	11	12	11
Tue Jun 20 11:33:04 2017	1497969184	0	14	14	14
Tue Jun 20 11:33:04 2017	1497969184	1	17	17	17
Tue Jun 20 11:33:04 2017	1497969184	0	20	20	20
Tue Jun 20 11:33:04 2017	1497969184	0	23	23	23
Tue Jun 20 11:33:04 2017	1497969184	0	26	26	26
Tue Jun 20 11:33:04 2017	1497969184	0	29	29	29
Tue Jun 20 11:33:04 2017	1497969184	0	32	32	32
Tue Jun 20 11:33:10 2017	1497969190	0	33	33	33
Tue Jun 20 11:33:12 2017	1497969192	0	34	34	34
Tue Jun 20 11:33:06 2017	1497969186	0	34	34	34
Tue Jun 20 11:33:12 2017	1497969192	0	34	34	34
Tue Jun 20 11:33:12 2017	1497969192	0	34	34	34
Tue Jun 20 11:33:08 2017	1497969188	0	34	34	34
Tue Jun 20 11:33:18 2017	1497969198	0	34	34	34
Tue Jun 20 11:33:12 2017	1497969192	0	34	34	34
Tue Jun 20 11:33:09 2017	1497969189	0	34	34	34
Tue Jun 20 11:33:11 2017	1497969191	0	34	34	34
Tue Jun 20 11:33:09 2017	1497969189	0	34	34	34
Tue Jun 20 11:33:18 2017	1497969198	0	34	34	34
Tue Jun 20 11:33:22 2017	1497969202	0	34	34	34
Tue Jun 20 11:33:11 2017	1497969191	0	34	34	34
Tue Jun 20 11:33:12 2017	1497969192	0	34	34	34
Tue Jun 20 11:33:22 2017	1497969202	0	34	34	34
Tue Jun 20 11:33:18 2017	1497969198	0	34	34	34
Tue Jun 20 11:33:19 2017	1497969199	0	34	34	34
Tue Jun 20 11:33:14 2017	1497969194	0	34	34	34
Tue Jun 20 11:33:14 2017	1497969194	0	34	34	34
Tue Jun 20 11:33:12 2017	1497969192	0	34	34	34
Tue Jun 20 11:33:18 2017	1497969198	0	34	34	34
Tue Jun 20 11:33:09 2017	1497969189	0	34	34	34
Tue Jun 20 11:33:14 2017	1497969194	0	34	34	34
Tue Jun 20 11:33:18 2017	1497969198	0	34	34	34
Tue Jun 20 11:33:14 2017	1497969194	0	34	34	34
Tue Jun 20 11:33:22 2017	1497969202	0	34	34	34
Tue Jun 20 11:33:09 2017	1497969189	0	34	34	34
Tue Jun 20 11:33:22 2017	1497969202	0	34	34	34
Tue Jun 20 11:33:19 2017	1497969199	0	34	34	34
Tue Jun 20 11:33:18 2017	1497969198	0	34	34	34
Tue Jun 20 11:33:08 2017	1497969188	0	34	34	34
Tue Jun 20 11:33:22 2017	1497969202	0	34	34	34
